founded_year,founder_education_score,article_mentions,sentiment_score,countries_operating,recent_milestone,description,startup_id,problem_addressed,key_metrics,country,founder_network_score,valuation_usd,user_satisfaction_score,market_size_estimate,sector,months_in_operation,keyword_relevance_score,customer_testimonials,investor_readiness_score,social_media_followers,founder_name,founder_experience_years,media_coverage_count,problem_country_alignment,team_size,data_source,startup_name,funding_raised
2020,8.3,7,0.6,7,Raised $2.8M in recent funding round,Innovative ai/ml startup addressing women empowerment in Kenya,SYNTH_0064,Women Empowerment,"Operating in 7 countries, 29 team members",Kenya,3.1,12419706,7.98,1612782,AI/ML,58,6.21,8,100.0,5918,Founder_0064,13.8,8,6.26,29,synthetic,Startup_0064,2845406
2020,9.1,13,0.8,8,Raised $3.8M in recent funding round,Innovative insurtech startup addressing energy access in Uganda,SYNTH_0065,Energy Access,"Operating in 8 countries, 20 team members",Uganda,3.9,31450471,7.01,63241655,InsurTech,6,9.08,8,75.9,12125,Founder_0065,0.8,10,7.39,20,synthetic,Startup_0065,3818643
2018,6.7,2,0.8,5,Raised $2.5M in recent funding round,Innovative fintech startup addressing education gap in South Africa,SYNTH_0066,Education Gap,"Operating in 5 countries, 27 team members",South Africa,6.4,15373274,7.05,23904607,FinTech,6,7.79,3,45.04,4232,Founder_0066,0.3,9,4.52,27,synthetic,Startup_0066,2468346
2019,7.2,6,1.0,2,Raised $7.2M in recent funding round,Innovative cleantech startup addressing rural connectivity in Senegal,SYNTH_0067,Rural Connectivity,"Operating in 2 countries, 26 team members",Senegal,5.8,67562021,4.81,410231,CleanTech,36,5.92,4,74.14,3855,Founder_0067,14.6,4,7.21,26,synthetic,Startup_0067,7180035
2021,8.3,7,0.8,1,Raised $3.2M in recent funding round,Innovative ai/ml startup addressing rural connectivity in Tanzania,SYNTH_0068,Rural Connectivity,"Operating in 1 countries, 22 team members",Tanzania,5.6,17068791,5.12,6284737,AI/ML,57,7.91,5,72.79,1681,Founder_0068,20.0,5,4.46,22,synthetic,Startup_0068,3161756
2021,8.3,4,0.7,4,Raised $2.5M in recent funding round,Innovative logistech startup addressing healthcare access in Tanzania,SYNTH_0069,Healthcare Access,"Operating in 4 countries, 27 team members",Tanzania,8.8,22952684,7.41,1869889,LogisTech,22,7.64,10,89.84,895,Founder_0069,0.7,10,6.52,27,synthetic,Startup_0069,2525814
2017,6.1,8,0.7,4,Raised $13.2M in recent funding round,Innovative ai/ml startup addressing rural connectivity in Uganda,SYNTH_0070,Rural Connectivity,"Operating in 4 countries, 23 team members",Uganda,5.7,94451404,7.84,56146266,AI/ML,22,8.92,7,66.19,731,Founder_0070,7.0,7,5.74,23,synthetic,Startup_0070,13157769
2015,10.0,4,0.7,3,Raised $4.8M in recent funding round,Innovative e-commerce startup addressing youth employment in Rwanda,SYNTH_0071,Youth Employment,"Operating in 3 countries, 23 team members",Rwanda,6.8,15032832,6.52,14566910,E-commerce,6,8.94,4,91.16,1335,Founder_0071,9.7,6,4.68,23,synthetic,Startup_0071,4796556
2017,8.8,10,0.3,3,Raised $5.2M in recent funding round,Innovative fintech startup addressing rural connectivity in Senegal,SYNTH_0072,Rural Connectivity,"Operating in 3 countries, 23 team members",Senegal,9.1,46816563,6.63,4658109,FinTech,11,6.52,10,100.0,415,Founder_0072,4.2,5,7.46,23,synthetic,Startup_0072,5170393
2021,6.8,10,1.0,1,Raised $13.9M in recent funding round,Innovative edtech startup addressing youth employment in Tanzania,SYNTH_0073,Youth Employment,"Operating in 1 countries, 24 team members",Tanzania,5.1,50743284,6.11,11789284,EdTech,43,8.88,4,69.96,2272,Founder_0073,5.2,3,6.58,24,synthetic,Startup_0073,13920668
2017,7.6,10,0.6,1,Raised $0.7M in recent funding round,Innovative fintech startup addressing digital payment in Kenya,SYNTH_0074,Digital Payment,"Operating in 1 countries, 20 team members",Kenya,9.6,4662185,6.5,42184705,FinTech,66,7.66,10,100.0,1608,Founder_0074,0.4,7,4.68,20,synthetic,Startup_0074,736618
2015,5.9,7,0.3,3,Raised $2.5M in recent funding round,Innovative agritech startup addressing agricultural efficiency in Kenya,SYNTH_0075,Agricultural Efficiency,"Operating in 3 countries, 40 team members",Kenya,5.4,21408836,7.32,912588,AgriTech,13,6.74,10,62.43,101,Founder_0075,2.9,4,7.85,40,synthetic,Startup_0075,2528578
2018,7.0,11,0.6,1,Raised $0.6M in recent funding round,Innovative ai/ml startup addressing energy access in Uganda,SYNTH_0076,Energy Access,"Operating in 1 countries, 29 team members",Uganda,8.9,3349874,6.04,3485444,AI/ML,89,8.04,10,73.85,23999,Founder_0076,2.3,5,6.37,29,synthetic,Startup_0076,626219
2021,6.4,5,0.6,1,Raised $7.1M in recent funding round,Innovative e-commerce startup addressing women empowerment in Rwanda,SYNTH_0077,Women Empowerment,"Operating in 1 countries, 28 team members",Rwanda,5.7,62057841,5.12,83671363,E-commerce,11,7.59,3,24.66,10616,Founder_0077,8.1,5,6.55,28,synthetic,Startup_0077,7115797
2021,7.0,8,0.4,4,Raised $3.3M in recent funding round,Innovative e-commerce startup addressing youth employment in Uganda,SYNTH_0078,Youth Employment,"Operating in 4 countries, 32 team members",Uganda,5.5,11902106,6.07,22128330,E-commerce,78,6.53,4,58.02,330,Founder_0078,2.3,9,4.92,32,synthetic,Startup_0078,3335224
2017,4.5,6,0.5,1,Raised $1.4M in recent funding round,Innovative blockchain startup addressing rural connectivity in South Africa,SYNTH_0079,Rural Connectivity,"Operating in 1 countries, 24 team members",South Africa,3.4,13845384,6.58,5913901,Blockchain,6,7.76,10,100.0,19111,Founder_0079,3.9,5,5.29,24,synthetic,Startup_0079,1387540
2023,8.8,11,0.3,1,Raised $2.9M in recent funding round,Innovative blockchain startup addressing energy access in Senegal,SYNTH_0080,Energy Access,"Operating in 1 countries, 18 team members",Senegal,7.2,15032353,8.21,2639414,Blockchain,21,8.36,14,100.0,2668,Founder_0080,7.4,7,5.54,18,synthetic,Startup_0080,2858358
2017,7.2,7,0.7,1,Raised $41.6M in recent funding round,Innovative ai/ml startup addressing agricultural efficiency in Tanzania,SYNTH_0081,Agricultural Efficiency,"Operating in 1 countries, 26 team members",Tanzania,7.9,277361855,6.02,74613725,AI/ML,6,6.55,8,78.94,3557,Founder_0081,6.7,7,7.51,26,synthetic,Startup_0081,41615025
2017,5.9,10,0.8,2,Raised $10.5M in recent funding round,Innovative edtech startup addressing digital payment in Cameroon,SYNTH_0082,Digital Payment,"Operating in 2 countries, 19 team members",Cameroon,6.4,76578995,5.01,36592370,EdTech,6,8.71,16,82.17,4732,Founder_0082,0.2,0,6.33,19,synthetic,Startup_0082,10493354
2021,7.6,7,0.8,2,Raised $1.4M in recent funding round,Innovative blockchain startup addressing energy access in Tanzania,SYNTH_0083,Energy Access,"Operating in 2 countries, 19 team members",Tanzania,6.7,13005248,8.23,10947159,Blockchain,6,6.49,8,100.0,6363,Founder_0083,0.7,8,4.61,19,synthetic,Startup_0083,1425086
2017,10.0,8,0.5,2,Raised $7.0M in recent funding round,Innovative ai/ml startup addressing women empowerment in Senegal,SYNTH_0084,Women Empowerment,"Operating in 2 countries, 30 team members",Senegal,7.3,50410153,7.59,54435208,AI/ML,29,7.29,7,100.0,304,Founder_0084,11.0,7,7.87,30,synthetic,Startup_0084,6971861
2017,6.2,6,0.7,3,Raised $2.4M in recent funding round,Innovative insurtech startup addressing youth employment in Tanzania,SYNTH_0085,Youth Employment,"Operating in 3 countries, 19 team members",Tanzania,5.7,7261829,9.72,21738503,InsurTech,6,6.63,7,81.11,255,Founder_0085,2.0,7,5.91,19,synthetic,Startup_0085,2397187
2018,7.2,6,1.0,3,Raised $12.5M in recent funding round,Innovative edtech startup addressing financial inclusion in Senegal,SYNTH_0086,Financial Inclusion,"Operating in 3 countries, 24 team members",Senegal,7.3,85358628,5.37,691624,EdTech,47,5.82,9,85.73,4962,Founder_0086,5.2,3,5.78,24,synthetic,Startup_0086,12479114
2021,4.4,10,0.6,2,Raised $35.4M in recent funding round,Innovative ai/ml startup addressing youth employment in South Africa,SYNTH_0087,Youth Employment,"Operating in 2 countries, 25 team members",South Africa,9.3,209371684,5.95,55931218,AI/ML,7,6.22,4,63.89,7215,Founder_0087,0.5,3,5.85,25,synthetic,Startup_0087,35435084
2021,6.0,7,0.9,1,Raised $3.1M in recent funding round,Innovative ai/ml startup addressing education gap in Kenya,SYNTH_0088,Education Gap,"Operating in 1 countries, 20 team members",Kenya,6.7,27705511,6.59,60039388,AI/ML,32,5.45,7,100.0,7439,Founder_0088,0.1,3,8.91,20,synthetic,Startup_0088,3063291
2018,8.5,5,0.9,1,Raised $5.9M in recent funding round,Innovative healthtech startup addressing supply chain in Nigeria,SYNTH_0089,Supply Chain,"Operating in 1 countries, 25 team members",Nigeria,8.4,23957419,6.73,1150414,HealthTech,6,5.81,2,89.73,18382,Founder_0089,6.6,4,7.34,25,synthetic,Startup_0089,5896190
2021,9.1,5,0.7,1,Raised $1.6M in recent funding round,Innovative blockchain startup addressing energy access in Kenya,SYNTH_0090,Energy Access,"Operating in 1 countries, 26 team members",Kenya,7.7,12508466,7.39,10485266,Blockchain,6,8.49,8,100.0,1042,Founder_0090,1.8,4,7.46,26,synthetic,Startup_0090,1627541
2017,6.8,11,0.7,2,Raised $4.9M in recent funding round,Innovative healthtech startup addressing women empowerment in Kenya,SYNTH_0091,Women Empowerment,"Operating in 2 countries, 28 team members",Kenya,7.0,47194948,7.65,15661935,HealthTech,65,7.59,10,97.13,5126,Founder_0091,4.3,3,5.79,28,synthetic,Startup_0091,4850498
2022,7.1,5,0.4,1,Raised $3.6M in recent funding round,Innovative blockchain startup addressing healthcare access in South Africa,SYNTH_0092,Healthcare Access,"Operating in 1 countries, 24 team members",South Africa,7.0,32339952,6.47,238429,Blockchain,27,7.33,3,96.67,842,Founder_0092,20.0,5,7.79,24,synthetic,Startup_0092,3625728
2022,8.7,11,0.7,2,Raised $1.1M in recent funding round,Innovative blockchain startup addressing rural connectivity in South Africa,SYNTH_0093,Rural Connectivity,"Operating in 2 countries, 29 team members",South Africa,6.4,10228665,9.19,5398401,Blockchain,75,7.65,9,83.97,1310,Founder_0093,0.4,9,7.65,29,synthetic,Startup_0093,1135089
2020,7.2,8,0.9,2,Raised $1.6M in recent funding round,Innovative edtech startup addressing digital payment in Uganda,SYNTH_0094,Digital Payment,"Operating in 2 countries, 25 team members",Uganda,4.8,9494744,7.09,1281852,EdTech,20,6.95,9,100.0,3022,Founder_0094,0.8,7,5.74,25,synthetic,Startup_0094,1551892
2020,8.2,4,0.8,1,Raised $0.8M in recent funding round,Innovative e-commerce startup addressing women empowerment in Nigeria,SYNTH_0095,Women Empowerment,"Operating in 1 countries, 33 team members",Nigeria,8.5,3315294,8.78,3804644,E-commerce,7,7.34,5,53.31,457,Founder_0095,0.7,6,7.94,33,synthetic,Startup_0095,757467
2016,3.6,7,0.7,2,Raised $9.9M in recent funding round,Innovative blockchain startup addressing financial inclusion in Senegal,SYNTH_0096,Financial Inclusion,"Operating in 2 countries, 22 team members",Senegal,5.7,64451578,9.45,100795343,Blockchain,21,5.79,7,100.0,741,Founder_0096,2.9,4,5.34,22,synthetic,Startup_0096,9894229
2018,9.9,14,0.7,4,Raised $54.4M in recent funding round,Innovative cleantech startup addressing education gap in Rwanda,SYNTH_0097,Education Gap,"Operating in 4 countries, 20 team members",Rwanda,6.3,529083893,5.96,325579573,CleanTech,39,6.82,4,75.44,1478,Founder_0097,1.2,6,6.03,20,synthetic,Startup_0097,54350220
2023,4.9,12,0.9,1,Raised $12.0M in recent funding round,Innovative ai/ml startup addressing healthcare access in Ghana,SYNTH_0098,Healthcare Access,"Operating in 1 countries, 18 team members",Ghana,4.7,80373907,5.81,35525676,AI/ML,56,5.62,6,75.09,36337,Founder_0098,2.0,8,7.15,18,synthetic,Startup_0098,11950515
2021,5.3,14,0.8,1,Raised $2.8M in recent funding round,Innovative healthtech startup addressing financial inclusion in South Africa,SYNTH_0099,Financial Inclusion,"Operating in 1 countries, 34 team members",South Africa,7.0,9940285,8.62,2450446,HealthTech,14,6.87,9,100.0,2542,Founder_0099,1.9,6,6.46,34,synthetic,Startup_0099,2820522
2018,7.2,9,0.8,1,Raised $2.5M in recent funding round,Innovative insurtech startup addressing supply chain in Zimbabwe,SYNTH_0100,Supply Chain,"Operating in 1 countries, 21 team members",Zimbabwe,6.4,13305477,8.64,9712665,InsurTech,8,8.7,11,78.81,716,Founder_0100,2.5,3,5.13,21,synthetic,Startup_0100,2548101
2016,9.1,12,0.9,5,Raised $2.2M in recent funding round,Innovative insurtech startup addressing healthcare access in Zimbabwe,SYNTH_0101,Healthcare Access,"Operating in 5 countries, 29 team members",Zimbabwe,4.1,21412656,6.76,437492,InsurTech,8,8.42,6,69.88,21306,Founder_0101,0.3,6,6.03,29,synthetic,Startup_0101,2242688
2023,7.9,9,0.7,1,Raised $4.6M in recent funding round,Innovative cleantech startup addressing digital payment in Nigeria,SYNTH_0102,Digital Payment,"Operating in 1 countries, 23 team members",Nigeria,5.6,36126888,7.03,5493964,CleanTech,15,8.77,9,100.0,37291,Founder_0102,5.4,4,6.97,23,synthetic,Startup_0102,4606822
2021,7.4,10,1.0,2,Raised $2.0M in recent funding round,Innovative healthtech startup addressing healthcare access in Senegal,SYNTH_0103,Healthcare Access,"Operating in 2 countries, 29 team members",Senegal,7.2,7450262,6.68,29230630,HealthTech,12,4.86,8,55.38,1441,Founder_0103,3.5,9,6.14,29,synthetic,Startup_0103,2026255
2015,6.3,4,0.8,1,Raised $1.6M in recent funding round,Innovative fintech startup addressing supply chain in Rwanda,SYNTH_0104,Supply Chain,"Operating in 1 countries, 16 team members",Rwanda,7.0,15009912,5.22,22007382,FinTech,241,7.97,14,83.67,231,Founder_0104,2.5,6,5.69,16,synthetic,Startup_0104,1602396
2022,7.1,9,0.7,3,Raised $2.5M in recent funding round,Innovative healthtech startup addressing education gap in Kenya,SYNTH_0105,Education Gap,"Operating in 3 countries, 23 team members",Kenya,7.3,18598421,8.92,5277940,HealthTech,30,10.0,10,47.99,3095,Founder_0105,0.1,1,8.24,23,synthetic,Startup_0105,2467261
2016,7.4,8,0.6,2,Raised $1.1M in recent funding round,Innovative cleantech startup addressing financial inclusion in Kenya,SYNTH_0106,Financial Inclusion,"Operating in 2 countries, 20 team members",Kenya,8.1,3673319,5.31,1423150,CleanTech,13,8.41,8,30.73,411,Founder_0106,5.1,7,8.38,20,synthetic,Startup_0106,1065143
2016,7.6,4,0.9,5,Raised $0.3M in recent funding round,Innovative agritech startup addressing rural connectivity in Uganda,SYNTH_0107,Rural Connectivity,"Operating in 5 countries, 21 team members",Uganda,6.2,1349061,5.48,377880,AgriTech,15,6.31,4,86.63,578,Founder_0107,4.5,7,7.8,21,synthetic,Startup_0107,340726
2015,5.0,2,0.8,2,Raised $0.3M in recent funding round,Innovative e-commerce startup addressing digital payment in Cameroon,SYNTH_0108,Digital Payment,"Operating in 2 countries, 24 team members",Cameroon,3.6,2329449,6.66,11183980,E-commerce,12,6.53,7,97.61,316,Founder_0108,3.4,6,8.83,24,synthetic,Startup_0108,269380
2016,6.6,10,0.4,6,Raised $11.6M in recent funding round,Innovative healthtech startup addressing energy access in Rwanda,SYNTH_0109,Energy Access,"Operating in 6 countries, 16 team members",Rwanda,6.2,40178544,8.95,6766843,HealthTech,227,7.15,11,71.66,4486,Founder_0109,3.5,8,10.0,16,synthetic,Startup_0109,11647069
2015,8.0,8,0.8,1,Raised $18.9M in recent funding round,Innovative logistech startup addressing rural connectivity in Ghana,SYNTH_0110,Rural Connectivity,"Operating in 1 countries, 27 team members",Ghana,6.1,126441418,6.92,9784854,LogisTech,33,7.49,10,100.0,15717,Founder_0110,15.9,6,6.64,27,synthetic,Startup_0110,18933696
2023,6.9,11,0.5,1,Raised $16.5M in recent funding round,Innovative fintech startup addressing supply chain in Rwanda,SYNTH_0111,Supply Chain,"Operating in 1 countries, 27 team members",Rwanda,7.2,163393830,6.63,8008763,FinTech,8,5.95,10,60.17,8081,Founder_0111,1.2,9,7.29,27,synthetic,Startup_0111,16525264
2021,6.7,8,0.9,2,Raised $0.5M in recent funding round,Innovative cleantech startup addressing education gap in Tanzania,SYNTH_0112,Education Gap,"Operating in 2 countries, 20 team members",Tanzania,6.9,2873956,6.44,4234131,CleanTech,9,6.86,9,19.0,5621,Founder_0112,11.8,4,6.12,20,synthetic,Startup_0112,458430
2017,7.8,5,0.7,1,Raised $0.5M in recent funding round,Innovative edtech startup addressing healthcare access in South Africa,SYNTH_0113,Healthcare Access,"Operating in 1 countries, 22 team members",South Africa,5.9,4186269,6.66,1968838,EdTech,41,8.33,6,84.99,10180,Founder_0113,6.8,1,7.74,22,synthetic,Startup_0113,484607
2019,7.1,7,0.7,2,Raised $5.7M in recent funding round,Innovative fintech startup addressing agricultural efficiency in Tanzania,SYNTH_0114,Agricultural Efficiency,"Operating in 2 countries, 22 team members",Tanzania,6.3,42091369,7.69,2261542,FinTech,10,7.01,7,80.83,3830,Founder_0114,4.0,6,7.55,22,synthetic,Startup_0114,5654016
2018,9.5,2,0.8,3,Raised $3.8M in recent funding round,Innovative insurtech startup addressing financial inclusion in Nigeria,SYNTH_0115,Financial Inclusion,"Operating in 3 countries, 28 team members",Nigeria,8.5,34719978,5.79,269185571,InsurTech,19,7.09,10,71.37,8164,Founder_0115,2.2,6,8.21,28,synthetic,Startup_0115,3828389
2015,6.4,3,0.7,1,Raised $1.0M in recent funding round,Innovative cleantech startup addressing financial inclusion in Zimbabwe,SYNTH_0116,Financial Inclusion,"Operating in 1 countries, 34 team members",Zimbabwe,5.4,9654610,6.52,2260288,CleanTech,69,6.64,11,81.11,1834,Founder_0116,8.1,9,6.45,34,synthetic,Startup_0116,984169
2019,9.2,5,0.5,3,Raised $2.6M in recent funding round,Innovative blockchain startup addressing healthcare access in Kenya,SYNTH_0117,Healthcare Access,"Operating in 3 countries, 23 team members",Kenya,5.5,22414477,7.81,59940037,Blockchain,13,5.97,4,74.5,7087,Founder_0117,4.6,9,6.65,23,synthetic,Startup_0117,2595519
2015,6.0,5,0.9,2,Raised $2.1M in recent funding round,Innovative agritech startup addressing digital payment in Nigeria,SYNTH_0118,Digital Payment,"Operating in 2 countries, 21 team members",Nigeria,4.2,20075348,6.3,11901885,AgriTech,31,5.48,12,96.84,7512,Founder_0118,16.3,8,10.0,21,synthetic,Startup_0118,2060773
2021,7.4,9,0.6,1,Raised $4.6M in recent funding round,Innovative ai/ml startup addressing healthcare access in Cameroon,SYNTH_0119,Healthcare Access,"Operating in 1 countries, 26 team members",Cameroon,5.3,28828547,7.53,13760951,AI/ML,24,6.08,13,75.98,129,Founder_0119,1.8,4,4.47,26,synthetic,Startup_0119,4631308
2017,7.8,6,0.6,1,Raised $8.7M in recent funding round,Innovative insurtech startup addressing digital payment in South Africa,SYNTH_0120,Digital Payment,"Operating in 1 countries, 18 team members",South Africa,6.4,32835338,6.79,32631531,InsurTech,85,9.21,6,72.49,8269,Founder_0120,1.9,7,5.37,18,synthetic,Startup_0120,8651072
2021,7.3,7,0.9,1,Raised $2.8M in recent funding round,Innovative cleantech startup addressing agricultural efficiency in Nigeria,SYNTH_0121,Agricultural Efficiency,"Operating in 1 countries, 28 team members",Nigeria,5.1,17299919,7.82,2050897,CleanTech,25,7.63,6,79.44,10145,Founder_0121,4.4,3,7.16,28,synthetic,Startup_0121,2812789
2015,4.4,5,1.0,2,Raised $0.7M in recent funding round,Innovative insurtech startup addressing healthcare access in Rwanda,SYNTH_0122,Healthcare Access,"Operating in 2 countries, 19 team members",Rwanda,6.0,6747728,6.34,6161249,InsurTech,6,7.57,4,82.82,3574,Founder_0122,1.8,0,6.03,19,synthetic,Startup_0122,728849
2022,8.1,6,0.9,1,Raised $2.4M in recent funding round,Innovative agritech startup addressing healthcare access in Zimbabwe,SYNTH_0123,Healthcare Access,"Operating in 1 countries, 19 team members",Zimbabwe,7.0,10272567,7.26,316149,AgriTech,25,6.77,6,53.83,33082,Founder_0123,4.7,5,6.29,19,synthetic,Startup_0123,2381939
2021,5.5,9,0.9,1,Raised $3.0M in recent funding round,Innovative healthtech startup addressing youth employment in Cameroon,SYNTH_0124,Youth Employment,"Operating in 1 countries, 22 team members",Cameroon,4.7,9487528,5.86,6848611,HealthTech,6,7.04,15,100.0,592,Founder_0124,0.5,4,6.6,22,synthetic,Startup_0124,3010097
2022,8.8,8,0.9,1,Raised $0.8M in recent funding round,Innovative logistech startup addressing rural connectivity in Senegal,SYNTH_0125,Rural Connectivity,"Operating in 1 countries, 18 team members",Senegal,4.0,7950367,7.13,12808819,LogisTech,6,8.87,8,100.0,4598,Founder_0125,7.6,8,5.85,18,synthetic,Startup_0125,795406
2022,5.5,10,0.9,3,Raised $9.3M in recent funding round,Innovative cleantech startup addressing energy access in Tanzania,SYNTH_0126,Energy Access,"Operating in 3 countries, 31 team members",Tanzania,5.5,66123783,8.45,68586268,CleanTech,25,9.43,6,100.0,10067,Founder_0126,7.5,8,6.87,31,synthetic,Startup_0126,9337573
2018,6.8,9,0.4,3,Raised $30.5M in recent funding round,Innovative e-commerce startup addressing supply chain in Uganda,SYNTH_0127,Supply Chain,"Operating in 3 countries, 25 team members",Uganda,5.9,165603132,7.3,1787124,E-commerce,124,6.98,12,69.15,194,Founder_0127,7.8,4,7.65,25,synthetic,Startup_0127,30492090
2018,5.7,13,0.7,3,Raised $3.8M in recent funding round,Innovative agritech startup addressing financial inclusion in Ghana,SYNTH_0128,Financial Inclusion,"Operating in 3 countries, 38 team members",Ghana,7.6,13654360,8.35,7224330,AgriTech,26,9.01,5,99.42,439,Founder_0128,2.4,6,5.2,38,synthetic,Startup_0128,3755184
2018,7.9,6,0.5,1,Raised $2.0M in recent funding round,Innovative agritech startup addressing youth employment in Cameroon,SYNTH_0129,Youth Employment,"Operating in 1 countries, 26 team members",Cameroon,5.6,14074407,5.8,9008787,AgriTech,26,8.46,9,100.0,794,Founder_0129,0.8,5,4.18,26,synthetic,Startup_0129,1999616
2019,8.8,9,0.7,3,Raised $7.0M in recent funding round,Innovative e-commerce startup addressing women empowerment in Ghana,SYNTH_0130,Women Empowerment,"Operating in 3 countries, 35 team members",Ghana,5.3,54271275,8.14,6474870,E-commerce,28,4.04,8,74.58,236,Founder_0130,3.2,6,6.35,35,synthetic,Startup_0130,7039275
2020,6.4,11,0.9,2,Raised $1.0M in recent funding round,Innovative healthtech startup addressing digital payment in Senegal,SYNTH_0131,Digital Payment,"Operating in 2 countries, 21 team members",Senegal,2.7,5365985,6.72,30208918,HealthTech,19,7.72,12,38.45,7465,Founder_0131,3.1,8,5.84,21,synthetic,Startup_0131,990145
2020,8.9,5,0.3,1,Raised $5.5M in recent funding round,Innovative ai/ml startup addressing digital payment in Tanzania,SYNTH_0132,Digital Payment,"Operating in 1 countries, 26 team members",Tanzania,10.0,27642898,9.09,17628580,AI/ML,22,8.23,10,78.93,2179,Founder_0132,4.3,6,4.7,26,synthetic,Startup_0132,5486470
2015,9.1,4,0.6,2,Raised $6.4M in recent funding round,Innovative logistech startup addressing rural connectivity in South Africa,SYNTH_0133,Rural Connectivity,"Operating in 2 countries, 19 team members",South Africa,7.0,30999527,7.26,1938735,LogisTech,118,6.13,13,79.87,1005,Founder_0133,0.1,7,5.05,19,synthetic,Startup_0133,6391525
2020,6.5,11,0.4,1,Raised $0.9M in recent funding round,Innovative healthtech startup addressing digital payment in Uganda,SYNTH_0134,Digital Payment,"Operating in 1 countries, 29 team members",Uganda,9.0,7831664,6.92,5435544,HealthTech,57,6.51,7,69.07,14882,Founder_0134,18.1,1,3.59,29,synthetic,Startup_0134,913973
2023,8.9,8,0.9,3,Raised $2.8M in recent funding round,Innovative edtech startup addressing women empowerment in Ghana,SYNTH_0135,Women Empowerment,"Operating in 3 countries, 22 team members",Ghana,7.1,12615134,8.36,32403109,EdTech,65,7.1,8,100.0,2161,Founder_0135,6.4,8,4.01,22,synthetic,Startup_0135,2752556
2023,7.0,9,0.3,3,Raised $0.4M in recent funding round,Innovative agritech startup addressing healthcare access in Cameroon,SYNTH_0136,Healthcare Access,"Operating in 3 countries, 27 team members",Cameroon,7.4,1670235,6.27,620974,AgriTech,6,7.04,11,61.31,8365,Founder_0136,0.3,6,5.68,27,synthetic,Startup_0136,396796
2018,10.0,7,0.6,1,Raised $9.6M in recent funding round,Innovative edtech startup addressing agricultural efficiency in Rwanda,SYNTH_0137,Agricultural Efficiency,"Operating in 1 countries, 17 team members",Rwanda,7.5,36189384,6.97,4903807,EdTech,86,7.61,5,100.0,575,Founder_0137,1.9,11,5.7,17,synthetic,Startup_0137,9556965
2020,5.7,9,0.9,1,Raised $1.6M in recent funding round,Innovative ai/ml startup addressing supply chain in Uganda,SYNTH_0138,Supply Chain,"Operating in 1 countries, 17 team members",Uganda,5.7,15278028,8.94,1985379,AI/ML,65,6.89,12,99.54,30447,Founder_0138,1.9,1,4.6,17,synthetic,Startup_0138,1639661
2018,7.7,6,1.0,1,Raised $13.1M in recent funding round,Innovative fintech startup addressing women empowerment in Ghana,SYNTH_0139,Women Empowerment,"Operating in 1 countries, 25 team members",Ghana,8.5,84649919,8.47,8418720,FinTech,23,5.9,11,80.16,5417,Founder_0139,2.7,7,7.42,25,synthetic,Startup_0139,13057289
2018,6.7,6,0.7,1,Raised $9.2M in recent funding round,Innovative ai/ml startup addressing youth employment in Nigeria,SYNTH_0140,Youth Employment,"Operating in 1 countries, 20 team members",Nigeria,6.5,72416164,6.49,2057104,AI/ML,27,9.46,6,66.23,5708,Founder_0140,1.2,2,9.02,20,synthetic,Startup_0140,9158396
2017,6.2,10,0.8,3,Raised $9.1M in recent funding round,Innovative logistech startup addressing digital payment in Senegal,SYNTH_0141,Digital Payment,"Operating in 3 countries, 26 team members",Senegal,2.7,58358430,8.14,3838839,LogisTech,13,6.53,11,96.66,26152,Founder_0141,0.3,5,3.1,26,synthetic,Startup_0141,9145514
2018,4.6,11,1.0,2,Raised $5.2M in recent funding round,Innovative ai/ml startup addressing healthcare access in Zimbabwe,SYNTH_0142,Healthcare Access,"Operating in 2 countries, 19 team members",Zimbabwe,6.5,19753751,6.52,945002,AI/ML,21,7.72,7,51.38,4902,Founder_0142,2.1,10,8.01,19,synthetic,Startup_0142,5239549
2023,8.5,6,0.8,2,Raised $0.5M in recent funding round,Innovative insurtech startup addressing supply chain in Tanzania,SYNTH_0143,Supply Chain,"Operating in 2 countries, 30 team members",Tanzania,6.9,2911391,5.25,5101954,InsurTech,6,8.53,8,23.28,1844,Founder_0143,4.3,4,7.18,30,synthetic,Startup_0143,484325
2020,7.1,14,0.9,1,Raised $12.9M in recent funding round,Innovative fintech startup addressing financial inclusion in Nigeria,SYNTH_0144,Financial Inclusion,"Operating in 1 countries, 31 team members",Nigeria,8.1,43705888,9.0,5474309,FinTech,13,5.78,7,74.4,410,Founder_0144,7.0,7,7.38,31,synthetic,Startup_0144,12878434
2018,8.3,11,0.6,2,Raised $2.0M in recent funding round,Innovative insurtech startup addressing youth employment in Rwanda,SYNTH_0145,Youth Employment,"Operating in 2 countries, 17 team members",Rwanda,4.6,20275284,5.65,14546409,InsurTech,36,10.0,12,63.88,3228,Founder_0145,3.1,4,6.85,17,synthetic,Startup_0145,2046003
2019,7.5,8,1.0,1,Raised $15.9M in recent funding round,Innovative fintech startup addressing youth employment in Nigeria,SYNTH_0146,Youth Employment,"Operating in 1 countries, 24 team members",Nigeria,7.5,147854790,6.13,22780530,FinTech,19,5.75,7,45.55,15116,Founder_0146,1.2,5,5.41,24,synthetic,Startup_0146,15937392
